mapped_name,id,oscn_id,full_name,name
BETHANY POLICE DEPARTMENT,317925,17719417,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,332615,17557831,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,279492,16762071,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,451468,17007569,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,291640,17670945,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,248451,16631675,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,285685,16781555,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,237924,15938398,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,382766,16894201,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,337587,17565357,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,228667,16903825,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,248491,16631658,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,285101,16781839,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,332574,17557739,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,234200,16860848,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,233208,16654828,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,253367,16670521,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,284549,16778644,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,241151,17008951,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,326393,17757103,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,341466,17139994,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,253496,16789878,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,397645,17567436,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,253942,16682505,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,251914,17039854,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,403397,17646755,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,266711,17650140,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,315361,17707831,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,283244,17648715,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,255345,17494992,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,410829,16926138,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,297405,17474870,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,339391,17571756,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,341579,16735843,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,373735,16481742,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,297556,17036505,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,255648,17495755,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,288367,16448004,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,286280,16671082,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,255449,18156926,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,408325,17693246,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,329654,18157067,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,329659,18157188,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,273248,17029205,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,399452,17590437,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,372736,16868698,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,311934,17696116,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,273616,16627305,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,437960,17571896,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,330963,17773942,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,283608,16776383,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,323943,17746351,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,325878,16283808,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,330899,17646256,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,400891,17611317,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,399612,17137080,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,378868,16926135,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,323423,17743499,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,252507,17043641,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,400830,17612834,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,402824,17640814,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,330775,17773030,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,402822,17640719,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,238305,15936552,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,273765,17047110,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,244925,17466739,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,408286,17693868,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,238317,18170969,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,289151,16463493,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,395621,17543253,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,412008,17749619,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,313898,17704357,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,330772,17773137,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,426474,17673179,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,418295,16929804,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,332706,17558278,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,235924,16490191,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,285350,17655665,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,450659,16743838,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,314736,17543185,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,426266,17570069,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,253844,17085231,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,311221,17692950,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,381801,16952152,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,251616,16444971,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,330740,17772368,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,330744,17773157,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,238470,17795748,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,308029,16436154,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,266988,15943267,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,395496,17093725,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,233980,17282357,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,324928,17749697,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,372446,16463478,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,373885,16483774,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,292785,16909953,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,286568,17660799,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,245932,17470404,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,381372,16549088,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,272465,16472553,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,284030,17520364,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,334614,18170199,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,251624,16453852,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,316074,17711317,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,264839,16739971,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,372306,17285949,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,247918,17036406,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,260941,17138866,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,327119,17760228,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,395030,16683172,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,247123,16629358,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,292456,16906077,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,410475,17725924,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,233072,16449173,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,389728,17038254,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,315369,17707159,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,372290,16863273,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,285646,17658114,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,327289,17554736,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,260586,15926121,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,410672,17728502,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,379712,17316119,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,371770,16454018,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,274722,16659961,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,310243,17592644,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,413149,17770001,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,277664,17632294,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,371628,16451513,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,436064,17679979,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,228786,17000700,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,403228,17192067,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,306189,17682607,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,390177,16594972,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,287111,16410539,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,395718,17544226,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,410252,17722733,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,310880,17540600,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,408076,17690005,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,231160,16435945,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,246435,16628765,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,247969,17462112,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,265497,17618814,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,410118,17721876,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,249447,16409713,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,317341,17716343,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,232221,16444545,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,251983,17041681,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,433355,17011316,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,242613,15920082,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,244919,17466782,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,319156,17723421,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,373652,17306294,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,253307,17656400,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,393391,17072931,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,231167,16436220,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,369959,16411571,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,281217,17186226,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,408754,17699041,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,386184,17003977,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,261907,17601952,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,281356,16767544,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,394712,17536146,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,369924,16410416,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,281394,17642904,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,398502,17579963,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,369922,16410496,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,230051,16416941,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,397503,17563560,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,386438,17005626,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,395720,17543911,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,398815,17582843,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,381993,16557234,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,310898,17541567,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,387034,17012539,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,272877,16889977,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,239560,17536404,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,269315,16795852,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,281747,17071103,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,281750,17071117,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,247264,17035388,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,323009,17740837,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,449813,17015980,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,393647,17523413,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,398819,17583157,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,281799,17071237,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,393660,17074939,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,328772,17767039,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,451733,17603802,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,393664,17075038,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,446234,17052431,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,443297,16816465,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,317671,17717610,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,240867,16890055,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,362344,17759281,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,255045,17051446,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,373387,16478435,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,229960,15917181,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,256945,17579636,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,281917,16769314,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,403748,16778737,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,256942,17580445,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,241124,15943392,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,319640,17547097,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,254801,17002386,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,315815,17543990,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,401266,16743821,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,409400,17707771,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,250739,17396605,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,266888,17670909,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,282284,17646342,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,272370,16621141,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,271594,16610345,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,401264,16743842,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,407252,16840201,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,406916,16833058,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,393935,17078576,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,419091,15969336,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,388864,16905257,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,401130,16739995,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,250741,17396657,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,411877,16965540,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,286170,17658845,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,268668,17655692,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,290606,17668138,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,456760,17728328,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,445390,17139471,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,311261,17693912,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,446241,16859076,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,322112,17737170,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,411494,17742217,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,339378,17571842,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,431698,17573097,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,409522,17709440,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,282536,17192888,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,290532,16481766,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,282702,17464269,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,445581,16720314,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,229808,16411566,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,263852,16045179,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,246773,16549063,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,265270,17617681,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,374584,16888253,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,254539,17048646,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,283652,16775826,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,334695,15980314,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,320826,16863360,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,282756,16772289,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,347265,15979939,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,255886,16647600,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,443285,16950560,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,241157,17008969,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,345752,16795786,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,453344,17614110,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,288229,17665004,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,339110,17570084,BETHANY PD,arresting agency
BETHANY POLICE DEPARTMENT,372842,16464925,BETHANY PD,arresting agency
